id,address,city,street,house_number,entrance,zip,match_type,itm_x,itm_y,lat,lon,utm_x,utm_y,osm_status,osm_lat,osm_lon,osm_utm_x,osm_utm_y,utm_diff_m
001027-073567-00000-X,"מלכה הנרי, דימונה",דימונה,מלכה הנרי,,,8601100,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,skipped,,,,,
001027-073567-00002-X,"מלכה הנרי 2, דימונה",דימונה,מלכה הנרי,2,,8601101,exact,202574.80,552324.11,31.061979,35.027566,693457.47,3438237.43,skipped,,,,,
001027-073567-00262-X,"מלכה הנרי 262, דימונה",דימונה,מלכה הנרי,262,,8601199,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,skipped,,,,,
001027-073567-00265-X,"מלכה הנרי 265, דימונה",דימונה,מלכה הנרי,265,,8601102,exact,202572.64,552349.53,31.062208,35.027543,693454.79,3438262.81,skipped,,,,,
001027-073567-00265-א,"מלכה הנרי 265א, דימונה",דימונה,מלכה הנרי,265,א,8601103,exact,202572.64,552349.53,31.062208,35.027543,693454.79,3438262.81,skipped,,,,,
001027-073567-00265-ב,"מלכה הנרי 265ב, דימונה",דימונה,מלכה הנרי,265,ב,8601104,exact,202572.64,552349.53,31.062208,35.027543,693454.79,3438262.81,skipped,,,,,
001027-073567-00266-X,"מלכה הנרי 266, דימונה",דימונה,מלכה הנרי,266,,8601106,exact,202565.81,552374.22,31.062431,35.027471,693447.48,3438287.35,skipped,,,,,
001027-073567-00266-א,"מלכה הנרי 266א, דימונה",דימונה,מלכה הנרי,266,א,8601107,exact,202565.81,552374.22,31.062431,35.027471,693447.48,3438287.35,skipped,,,,,
001027-073567-00266-ב,"מלכה הנרי 266ב, דימונה",דימונה,מלכה הנרי,266,ב,8601108,exact,202565.81,552374.22,31.062431,35.027471,693447.48,3438287.35,skipped,,,,,
001027-073567-00266-ג,"מלכה הנרי 266ג, דימונה",דימונה,מלכה הנרי,266,ג,8601109,exact,202565.81,552374.22,31.062431,35.027471,693447.48,3438287.35,skipped,,,,,
001027-073567-00267-X,"מלכה הנרי 267, דימונה",דימונה,מלכה הנרי,267,,8601110,exact,202564.00,552400.49,31.062668,35.027452,693445.14,3438313.59,skipped,,,,,
001027-073567-00267-ב,"מלכה הנרי 267ב, דימונה",דימונה,מלכה הנרי,267,ב,8601112,exact,202564.00,552400.49,31.062668,35.027452,693445.14,3438313.59,skipped,,,,,
001027-073567-00268-X,"מלכה הנרי 268, דימונה",דימונה,מלכה הנרי,268,,8601114,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,skipped,,,,,
001027-073567-00268-א,"מלכה הנרי 268א, דימונה",דימונה,מלכה הנרי,268,א,8601115,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,skipped,,,,,
001027-073567-00268-ב,"מלכה הנרי 268ב, דימונה",דימונה,מלכה הנרי,268,ב,8601116,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,skipped,,,,,
001027-073567-00268-ג,"מלכה הנרי 268ג, דימונה",דימונה,מלכה הנרי,268,ג,8601117,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,skipped,,,,,
001027-073567-00268-ה,"מלכה הנרי 268ה, דימונה",דימונה,מלכה הנרי,268,ה,8601119,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,skipped,,,,,
001027-073567-00269-X,"מלכה הנרי 269, דימונה",דימונה,מלכה הנרי,269,,8601123,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,skipped,,,,,
001027-073567-00269-א,"מלכה הנרי 269א, דימונה",דימונה,מלכה הנרי,269,א,8601124,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,skipped,,,,,
