id,city,street,house_number,entrance,zip,govmap_status,govmap_lat,govmap_lon,google_fwd_status,google_fwd_lat,google_fwd_lon,google_fwd_full,osm_fwd_status,osm_fwd_lat,osm_fwd_lon,osm_fwd_full,dist_govmap_google_m,dist_govmap_osm_m,dist_google_osm_m,google_rev_at_govmap_street,google_rev_at_govmap_house,google_rev_at_govmap_match,osm_rev_at_govmap_street,osm_rev_at_govmap_house,osm_rev_at_govmap_match,osm_rev_at_google_street,osm_rev_at_google_house,osm_rev_at_google_match,google_rev_at_osm_street,google_rev_at_osm_house,google_rev_at_osm_match,flags
001027-073567-00000-X,דימונה,מלכה הנרי,,,8601100,street,31.062559,35.026641,OK,31.062508,35.026471,"Henri Malka St, Dimona, Israel",OK,31.062543,35.027230,"הנרי מלכה, ערבה, נווה גן, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",17.2,56.3,72.5,הנרי מלכה,24,match,הנרי מלכה,,match,הנרי מלכה,,match,,,n/a,
001027-073567-00002-X,דימונה,מלכה הנרי,2,,8601101,exact,31.061979,35.027566,OK,31.061983,35.027561,"Henri Malka St 2, Dimona, Israel",OK,31.062543,35.027230,"הנרי מלכה, ערבה, נווה גן, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",0.6,70.3,69.7,הנרי מלכה,2,match,שדרות אריאל שרון,,mismatch,שדרות אריאל שרון,,mismatch,,,n/a,osm_rev_at_govmap_mismatch;osm_rev_at_google_mismatch
001027-073567-00262-X,דימונה,מלכה הנרי,262,,8601199,street,31.062559,35.026641,OK,31.062427,35.026855,"Henri Malka St 262, Dimona, Israel",OK,31.062543,35.027230,"הנרי מלכה, ערבה, נווה גן, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",25.2,56.3,38.0,הנרי מלכה,24,partial,הנרי מלכה,,partial,הנרי מלכה,,partial,,,n/a,
001027-073567-00265-X,דימונה,מלכה הנרי,265,,8601102,exact,31.062208,35.027543,OK,31.062238,35.027636,"Henri Malka St 265, Dimona, Israel",OK,31.062543,35.027230,"הנרי מלכה, ערבה, נווה גן, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",9.5,47.6,51.4,הנרי מלכה,4,partial,הנרי מלכה,,partial,הנרי מלכה,,partial,,,n/a,
001027-073567-00265-א,דימונה,מלכה הנרי,265,א,8601103,exact,31.062208,35.027543,OK,31.062238,35.027636,"Henri Malka St 265, Dimona, Israel",OK,31.062543,35.027230,"הנרי מלכה, ערבה, נווה גן, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",9.5,47.6,51.4,הנרי מלכה,4,partial,הנרי מלכה,,partial,הנרי מלכה,,partial,,,n/a,
001027-073567-00265-ב,דימונה,מלכה הנרי,265,ב,8601104,exact,31.062208,35.027543,OK,31.062238,35.027636,"Henri Malka St 265, Dimona, Israel",OK,31.062543,35.027230,"הנרי מלכה, ערבה, נווה גן, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",9.5,47.6,51.4,הנרי מלכה,4,partial,הנרי מלכה,,partial,הנרי מלכה,,partial,,,n/a,
001027-073567-00266-X,דימונה,מלכה הנרי,266,,8601106,exact,31.062431,35.027471,OK,31.062461,35.027585,"Henri Malka St 266, Dimona, Israel",OK,31.062543,35.027230,"הנרי מלכה, ערבה, נווה גן, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",11.4,26.1,35.1,הנרי מלכה,6,partial,הנרי מלכה,,partial,הנרי מלכה,,partial,,,n/a,
001027-073567-00266-א,דימונה,מלכה הנרי,266,א,8601107,exact,31.062431,35.027471,OK,31.062461,35.027585,"Henri Malka St 266, Dimona, Israel",OK,31.062543,35.027230,"הנרי מלכה, ערבה, נווה גן, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",11.4,26.1,35.1,הנרי מלכה,6,partial,הנרי מלכה,,partial,הנרי מלכה,,partial,,,n/a,
001027-073567-00266-ב,דימונה,מלכה הנרי,266,ב,8601108,exact,31.062431,35.027471,OK,31.062461,35.027585,"Henri Malka St 266, Dimona, Israel",OK,31.062543,35.027230,"הנרי מלכה, ערבה, נווה גן, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",11.4,26.1,35.1,הנרי מלכה,6,partial,הנרי מלכה,,partial,הנרי מלכה,,partial,,,n/a,
001027-073567-00266-ג,דימונה,מלכה הנרי,266,ג,8601109,exact,31.062431,35.027471,OK,31.062461,35.027585,"Henri Malka St 266, Dimona, Israel",OK,31.062543,35.027230,"הנרי מלכה, ערבה, נווה גן, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",11.4,26.1,35.1,הנרי מלכה,6,partial,הנרי מלכה,,partial,הנרי מלכה,,partial,,,n/a,
