id,address,city,street,house_number,entrance,zip,match_type,itm_x,itm_y,utm_x,utm_y,source_file,status
001027-073567-00000-X,"אבן גבירול 26, דימונה",דימונה,אבן גבירול,26,,,exact,204095.45,553728.79,,,File A,ok
001027-073567-00001-X,"אבן גבירול 20, דימונה",דימונה,אבן גבירול,20,,,exact,204114.25,553793.90,,,File A,ok
001027-073567-00002-X,"אבן גבירול 21, דימונה",דימונה,אבן גבירול,21,,,exact,204106.73,553926.11,,,File A,ok
001027-073567-00003-X,"אבן גבירול 33, דימונה",דימונה,אבן גבירול,33,,,exact,204167.29,553839.37,,,File A,ok
001027-073567-00004-X,"אבן גבירול 17, דימונה",דימונה,אבן גבירול,17,,,exact,204073.57,553927.98,,,File A,ok
001027-073567-00005-X,"אבן גבירול 18, דימונה",דימונה,אבן גבירול,18,,,exact,204095.77,553802.08,,,File A,ok
001027-073567-00006-X,"אבן גבירול 36, דימונה",דימונה,אבן גבירול,36,,,exact,204113.59,553646.56,,,File A,ok
001027-073567-00007-X,"אבן גבירול 9, דימונה",דימונה,אבן גבירול,9,,,exact,203991.86,553909.08,,,File A,ok
001027-073567-00008-X,"אבן גבירול 29, דימונה",דימונה,אבן גבירול,29,,,exact,204171.66,553889.26,,,File A,ok
001027-073567-00009-X,"אבן גבירול 28, דימונה",דימונה,אבן גבירול,28,,,exact,204114.83,553721.23,,,File A,ok
001027-073567-00010-X,"אבן גבירול 14, דימונה",דימונה,אבן גבירול,14,,,exact,204097.41,553840.27,,,File A,ok
001027-073567-00011-X,"אבן גבירול 35, דימונה",דימונה,אבן גבירול,35,,,exact,204174.33,553823.66,,,File A,ok
001027-073567-00012-X,"אבן גבירול 22, דימונה",דימונה,אבן גבירול,22,,,exact,204095.65,553763.44,,,File A,ok
001027-073567-00013-X,"אבן גבירול 51, דימונה",דימונה,אבן גבירול,51,,,exact,204166.37,553650.45,,,File A,ok
001027-073567-00014-X,"אבן גבירול 19, דימונה",דימונה,אבן גבירול,19,,,exact,204079.56,553909.90,,,File A,ok
001027-073567-00015-X,"אבן גבירול 4, דימונה",דימונה,אבן גבירול,4,,,exact,203968.16,553858.84,,,File A,ok
001027-073567-00016-X,"אבן גבירול 16, דימונה",דימונה,אבן גבירול,16,,,exact,204088.50,553820.68,,,File A,ok
001027-073567-00017-X,"אבן גבירול 24, דימונה",דימונה,אבן גבירול,24,,,exact,204089.59,553745.38,,,File A,ok
001027-073567-00018-X,"אבן גבירול 43, דימונה",דימונה,אבן גבירול,43,,,exact,204168.27,553735.94,,,File A,ok
001027-073567-00019-X,"אבן גבירול 47, דימונה",דימונה,אבן גבירול,47,,,exact,204175.32,553684.90,,,File A,ok
001027-073567-00020-X,"אבן גבירול 1, דימונה",דימונה,אבן גבירול,1,,,exact,203943.00,553908.81,,,File A,ok
001027-073567-00021-X,"אבן גבירול 15, דימונה",דימונה,אבן גבירול,15,,,exact,204055.26,553935.22,,,File A,ok
001027-073567-00022-X,"אבן גבירול 2, דימונה",דימונה,אבן גבירול,2,,,exact,203953.25,553862.86,,,File A,ok
001027-073567-00023-X,"אבן גבירול 30, דימונה",דימונה,אבן גבירול,30,,,exact,204095.52,553688.89,,,File A,ok
001027-073567-00024-X,"אבן גבירול 45, דימונה",דימונה,אבן גבירול,45,,,exact,204168.78,553701.52,,,File A,ok
001027-073567-00025-X,"אבן גבירול 5, דימונה",דימונה,אבן גבירול,5,,,exact,203966.66,553935.14,,,File A,ok
001027-073567-00026-X,"אבן גבירול 11, דימונה",דימונה,אבן גבירול,11,,,exact,204030.42,553909.30,,,File A,ok
001027-073567-00027-X,"אבן גבירול 31, דימונה",דימונה,אבן גבירול,31,,,exact,204164.18,553871.98,,,File A,ok
001027-073567-00028-X,"אבן גבירול 7, דימונה",דימונה,אבן גבירול,7,,,exact,203984.57,553928.08,,,File A,ok
001027-073567-00029-X,"אבן גבירול 34, דימונה",דימונה,אבן גבירול,34,,,exact,204096.23,553653.60,,,File A,ok
001027-073567-00030-X,"אבן גבירול 23, דימונה",דימונה,אבן גבירול,23,,,exact,204123.25,553935.75,,,File A,ok
001027-073567-00031-X,"אבן גבירול 10, דימונה",דימונה,אבן גבירול,10,,,exact,204056.89,553858.56,,,File A,ok
001027-073567-00032-X,"אבן גבירול 8, דימונה",דימונה,אבן גבירול,8,,,exact,204037.68,553865.11,,,File A,ok
001027-073567-00033-X,"אבן גבירול 25, דימונה",דימונה,אבן גבירול,25,,,exact,204140.67,553927.53,,,File A,ok
001027-073567-00034-X,"אבן גבירול 3, דימונה",דימונה,אבן גבירול,3,,,exact,203949.49,553926.61,,,File A,ok
