itm_x	itm_y
202486.6	552388.56
202574.8	552324.11
202486.6	552388.56
202572.64	552349.53
202572.64	552349.53
202572.64	552349.53
202565.81	552374.22
202565.81	552374.22
202565.81	552374.22
202565.81	552374.22
202564	552400.49
202564	552400.49
202486.6	552388.56
202486.6	552388.56
202486.6	552388.56
202486.6	552388.56
202486.6	552388.56
202486.6	552388.56
202486.6	552388.56
202486.6	552388.56
202486.6	552388.56
202359.8	552540.39
202509.7	552600.96
202509.7	552600.96
202669.83	552683.95
202374.59	552635.9
202569.61	552707.25
202638.73	552681.53
202557.38	552685.74
202599.12	552675.9
202538.76	552687.98
202590.36	552670.36
202529.78	552680.96
202576.3	552671.43
202509.01	552687.92
202567.4	552673.63
202503.23	552679.09
202542.01	552664.37
202506.86	552714.6
202540.28	552658.31
202497.59	552709.48
202529.69	552663.83
202514.09	552660.05
202481.99	552683.99
202466.63	552648.64
202477.18	552677.27
202447.42	552644.93
202461.33	552678.25
202438.37	552636.98
202449.18	552675.94
202422.3	552636.32
202440.55	552670.84
202419.7	552621.46
202423.19	552668.54
202391.27	552627.79
202399.89	552663.89
202379.34	552619.02
202375.91	552650.72
202352.54	552610.9
202352.88	552650.35
202329.02	552599.77
202340.2	552636.36
202313.72	552591.61
202325.72	552630.49
202285.69	552573.12
202269.86	552567.27
202817.04	552828.53
202783.89	552847.77
202820.66	552615.19
202812.2	552635.35
202958.41	553726.62
202919.22	553876.87
202946.47	553619.45
202842	552481.74
202548.82	552487.81
202629.69	552490.53
202651.6	552570.26
202646.34	552564.82
202626.16	552562.31
202562.58	552536.46
202617.32	552566.29
202510.01	552536.37
202526.39	552527.99
202507.4	552524.18
202576.77	552566.23
202491.35	552519.39
202556.49	552562.79
202441.11	552497.5
202522.22	552554.62
202421.13	552493.75
202505.47	552548.15
202401.25	552490.11
202489.92	552544.76
202480.3	552536.94
202423.45	552527.1
202409.17	552519.98
202392.75	552518.14
203176.87	553509.46
203377.16	552484.04
203277.79	552499.62
203125.64	552456.3
203265.62	552450.33
203412.73	552506.07
203294.29	552454.46
203760.15	552796.17
202982.19	552397.73
202999.62	552410.42
203026.55	552411.78
202960.61	552384.74
203046.24	552411.15
202974.41	552384.47
202765.85	552265.24
202824.57	552285.64
202839.52	552282.86
202919.76	552256.97
202947.47	552269.32
202967.4	552264.57
202933.93	552334.38
202877.23	552349.51
202856.64	552332.26
203029.94	552347.63
202685.35	552167.71
202658.77	552158.39
202572.78	552204.33
203011.54	552145.06
202483.96	552131.08
202492.35	552132.7
202502.13	552119.72
202512.68	552117.2
202536.63	552101.78
202546.68	552101.09
202596.58	552009.73
202558.05	552088.39
202619.28	552016.4
202580.03	552080.83
202635.34	552017.75
202593.89	552080.89
202644.45	552019.41
202607.41	552066.47
202658.99	552021.48
202642.11	552090.99
202666.47	552023.88
202650.87	552084.22
202684.18	552024.78
202664.9	552083.01
202695.17	552029.68
202675.94	552084.54
202715.85	552028.59
202696.85	552077.11
202718.97	552025.53
202701.3	552080.26
202734.25	552025.83
202711.95	552069.38
202721.79	552060.11
202759.72	552018.42
202748.07	552070.75
202759.19	552073.65
202774.59	552070.99
202783.85	552059.99
203010.54	552114.37
203041.68	552127.58
203079.51	552142.89
203131.5	552183.06
203176.8	552200.25
203208.81	552212.8
203275.86	552229.62
203013.14	552117.26
203062.79	552214.17
203045.78	552129.56
203068.47	552209.05
203054.91	552133.94
203155.18	552239.97
203070.61	552139.49
203292.62	552274.07
203083.79	552144.07
203109.29	552176.21
203130.18	552184.8
203143.85	552189.54
203176.99	552236.77
203168.14	552197.87
203225.14	552252.77
