id,city,file_street,file_house_number,file_match_type,utm_x,utm_y,lat,lon,google_street,google_house_number,google_full_address,match_score
001027-073567-00000-X,דימונה,מלכה הנרי,,street,693367.99,3438300.12,31.0625592,35.0266408,הנרי מלכה,24,"הנרי מלכה 24, דימונה, ישראל",none
001027-073567-00002-X,דימונה,מלכה הנרי,2,exact,693457.47,3438237.43,31.0619792,35.0275662,הנרי מלכה,2,"הנרי מלכה 2, דימונה, ישראל",none
001027-073567-00262-X,דימונה,מלכה הנרי,262,street,693367.99,3438300.12,31.0625592,35.0266408,הנרי מלכה,24,"הנרי מלכה 24, דימונה, ישראל",none
001027-073567-00265-X,דימונה,מלכה הנרי,265,exact,693454.79,3438262.81,31.0622085,35.0275429,הנרי מלכה,4,"הנרי מלכה 4, דימונה, ישראל",none
001027-073567-00265-א,דימונה,מלכה הנרי,265,exact,693454.79,3438262.81,31.0622085,35.0275429,הנרי מלכה,4,"הנרי מלכה 4, דימונה, ישראל",none
001027-073567-00265-ב,דימונה,מלכה הנרי,265,exact,693454.79,3438262.81,31.0622085,35.0275429,הנרי מלכה,4,"הנרי מלכה 4, דימונה, ישראל",none
001027-073567-00266-X,דימונה,מלכה הנרי,266,exact,693447.48,3438287.35,31.062431,35.0274711,הנרי מלכה,6,"הנרי מלכה 6, דימונה, ישראל",none
001027-073567-00266-א,דימונה,מלכה הנרי,266,exact,693447.48,3438287.35,31.062431,35.0274711,הנרי מלכה,6,"הנרי מלכה 6, דימונה, ישראל",none
001027-073567-00266-ב,דימונה,מלכה הנרי,266,exact,693447.48,3438287.35,31.062431,35.0274711,הנרי מלכה,6,"הנרי מלכה 6, דימונה, ישראל",none
001027-073567-00266-ג,דימונה,מלכה הנרי,266,exact,693447.48,3438287.35,31.062431,35.0274711,הנרי מלכה,6,"הנרי מלכה 6, דימונה, ישראל",none
001027-073567-00267-X,דימונה,מלכה הנרי,267,exact,693445.14,3438313.59,31.062668,35.0274516,הנרי מלכה,8,"הנרי מלכה 8, דימונה, ישראל",none
001027-073567-00267-ב,דימונה,מלכה הנרי,267,exact,693445.14,3438313.59,31.062668,35.0274516,הנרי מלכה,8,"הנרי מלכה 8, דימונה, ישראל",none
001027-073567-00268-X,דימונה,מלכה הנרי,268,street,693367.99,3438300.12,31.0625592,35.0266408,הנרי מלכה,24,"הנרי מלכה 24, דימונה, ישראל",none
001027-073567-00268-א,דימונה,מלכה הנרי,268,street,693367.99,3438300.12,31.0625592,35.0266408,הנרי מלכה,24,"הנרי מלכה 24, דימונה, ישראל",none
001027-073567-00268-ב,דימונה,מלכה הנרי,268,street,693367.99,3438300.12,31.0625592,35.0266408,הנרי מלכה,24,"הנרי מלכה 24, דימונה, ישראל",none
001027-073567-00268-ג,דימונה,מלכה הנרי,268,street,693367.99,3438300.12,31.0625592,35.0266408,הנרי מלכה,24,"הנרי מלכה 24, דימונה, ישראל",none
001027-073567-00268-ה,דימונה,מלכה הנרי,268,street,693367.99,3438300.12,31.0625592,35.0266408,הנרי מלכה,24,"הנרי מלכה 24, דימונה, ישראל",none
001027-073567-00269-X,דימונה,מלכה הנרי,269,street,693367.99,3438300.12,31.0625592,35.0266408,הנרי מלכה,24,"הנרי מלכה 24, דימונה, ישראל",none
001027-073567-00269-א,דימונה,מלכה הנרי,269,street,693367.99,3438300.12,31.0625592,35.0266408,הנרי מלכה,24,"הנרי מלכה 24, דימונה, ישראל",none
001027-073567-00269-ב,דימונה,מלכה הנרי,269,street,693367.99,3438300.12,31.0625592,35.0266408,הנרי מלכה,24,"הנרי מלכה 24, דימונה, ישראל",none
001027-073567-00269-ד,דימונה,מלכה הנרי,269,street,693367.99,3438300.12,31.0625592,35.0266408,הנרי מלכה,24,"הנרי מלכה 24, דימונה, ישראל",none
001027-074211-00002-X,דימונה,התאנה,2,exact,693238.2,3438449.41,31.0639268,35.0253098,התאנה,2,"התאנה 2, דימונה, ישראל",exact
001027-074211-00220-X,דימונה,התאנה,220,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00222-X,דימונה,התאנה,222,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00224-X,דימונה,התאנה,224,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00230-X,דימונה,התאנה,230,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00232-X,דימונה,התאנה,232,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00234-X,דימונה,התאנה,234,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00236-X,דימונה,התאנה,236,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00238-X,דימונה,התאנה,238,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00240-X,דימונה,התאנה,240,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00242-X,דימונה,התאנה,242,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00244-X,דימונה,התאנה,244,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00246-X,דימונה,התאנה,246,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00248-X,דימונה,התאנה,248,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00250-X,דימונה,התאנה,250,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00254-X,דימונה,התאנה,254,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00256-X,דימונה,התאנה,256,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00258-X,דימונה,התאנה,258,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00260-X,דימונה,התאנה,260,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00334-X,דימונה,התאנה,334,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00336-X,דימונה,התאנה,336,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00338-X,דימונה,התאנה,338,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00340-X,דימונה,התאנה,340,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00342-X,דימונה,התאנה,342,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00344-X,דימונה,התאנה,344,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00346-X,דימונה,התאנה,346,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00348-X,דימונה,התאנה,348,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00350-X,דימונה,התאנה,350,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00352-X,דימונה,התאנה,352,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00354-X,דימונה,התאנה,354,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00356-X,דימונה,התאנה,356,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00358-X,דימונה,התאנה,358,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00362-X,דימונה,התאנה,362,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00364-X,דימונה,התאנה,364,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
