utm_x,utm_y,lat,lon,file_street,file_house,file_match_type
693367.99,3438300.12,31.0625592,35.0266408,מלכה הנרי,,street
693457.47,3438237.43,31.0619792,35.0275662,מלכה הנרי,2,exact
693454.79,3438262.81,31.0622085,35.0275429,מלכה הנרי,265,exact
693447.48,3438287.35,31.062431,35.0274711,מלכה הנרי,266,exact
693445.14,3438313.59,31.062668,35.0274516,מלכה הנרי,267,exact
693238.2,3438449.41,31.0639268,35.0253098,התאנה,2,exact
693386.87,3438512.95,31.0644753,35.0268793,התאנה,220,street
693545.33,3438599.11,31.0652262,35.0285557,הגפן,1,exact
693251.09,3438545.2,31.0647885,35.0254631,הגפן,2,street
693444.67,3438620.41,31.0654348,35.0275054,הגפן,4,exact
693514.29,3438596.07,31.0652039,35.02823,הגפן,5,exact
693432.86,3438598.66,31.0652406,35.0273775,הגפן,6,exact
693474.79,3438589.65,31.0651525,35.027815,הגפן,7,exact
693414.2,3438600.53,31.0652606,35.0271824,הגפן,8,exact
693466.14,3438583.94,31.0651024,35.0277233,הגפן,9,exact
693405.36,3438593.34,31.0651972,35.0270884,הגפן,10,exact
693452.07,3438584.73,31.0651118,35.027576,הגפן,11,exact
693384.45,3438599.89,31.0652597,35.0268706,הגפן,12,exact
693443.12,3438586.75,31.0651315,35.0274827,הגפן,13,exact
693378.86,3438590.94,31.0651799,35.0268103,הגפן,14,exact
693417.92,3438576.99,31.0650477,35.0272168,הגפן,15,exact
693381.78,3438626.52,31.0655003,35.0268477,הגפן,16,exact
693416.31,3438570.9,31.064993,35.0271988,הגפן,17,exact
693372.61,3438621.21,31.0654539,35.0267506,הגפן,18,exact
693405.61,3438576.2,31.0650426,35.0270877,הגפן,19,exact
693390.09,3438572.12,31.0650083,35.0269244,הגפן,21,exact
693357.52,3438595.41,31.0652237,35.0265876,הגפן,24,exact
693342.87,3438559.77,31.0649048,35.0264273,הגפן,25,exact
693352.85,3438588.6,31.0651631,35.0265374,הגפן,26,exact
693323.73,3438555.67,31.0648709,35.0262261,הגפן,27,exact
693336.98,3438589.26,31.0651717,35.0263713,הגפן,28,exact
693314.84,3438547.54,31.0647991,35.0261314,הגפן,29,exact
693324.88,3438586.72,31.0651507,35.0262441,הגפן,30,exact
693298.79,3438546.57,31.064793,35.0259631,הגפן,31,exact
693316.35,3438581.44,31.0651045,35.0261537,הגפן,32,exact
693296.48,3438531.65,31.0646588,35.025936,הגפן,33,exact
693299.04,3438578.8,31.0650836,35.0259718,הגפן,34,exact
693267.92,3438537.43,31.0647156,35.0256379,הגפן,35,exact
693275.83,3438573.69,31.0650413,35.0257277,הגפן,36,exact
693256.18,3438528.42,31.0646363,35.0255132,הגפן,37,exact
693252.12,3438560.04,31.0649221,35.0254768,הגפן,40,exact
693229.54,3438519.77,31.0645627,35.0252325,הגפן,41,exact
693229.09,3438559.22,31.0649185,35.0252353,הגפן,42,exact
693206.24,3438508.17,31.0644619,35.0249862,הגפן,43,exact
693216.7,3438544.98,31.0647922,35.0251028,הגפן,44,exact
693191.11,3438499.71,31.0643881,35.0248261,הגפן,45,exact
693202.33,3438538.82,31.064739,35.0249511,הגפן,46,exact
693163.45,3438480.67,31.064221,35.0245327,הגפן,49,exact
693147.74,3438474.51,31.064168,35.024367,הגפן,51,exact
693689.65,3438746.59,31.0665323,35.0300958,האשל,,street
693656.12,3438765.16,31.0667052,35.0297481,האשל,16,exact
693697.51,3438533.35,31.0646081,35.0301373,ההדס,10,exact
693688.65,3438553.34,31.0647898,35.0300483,ההדס,521,street
693813.16,3439647.35,31.0746344,35.0315624,שד גולדה מאיר,,street
693771,3439796.8,31.075989,35.0311494,שד גולדה מאיר,149,exact
693803.35,3439539.96,31.0736677,35.031439,שד גולדה מאיר,1034,exact
693721.49,3438400.35,31.0634048,35.030363,השבלים,6,exact
693428.24,3438400.59,31.0634553,35.0272912,השבלים,62,exact
693509.04,3438404.91,31.0634809,35.0281384,השבלים,325,street
693529.36,3438485.07,31.0642004,35.0283666,הרימון,2,exact
693524.21,3438479.52,31.0641512,35.0283116,הרימון,4,exact
693504.08,3438476.62,31.0641284,35.0281002,הרימון,6,exact
693441.03,3438449.5,31.0638942,35.0274345,הרימון,7,exact
693495.17,3438480.42,31.0641641,35.0280076,הרימון,8,exact
693388.46,3438448.38,31.0638928,35.0268836,הרימון,10,street
693405.01,3438440.32,31.0638174,35.0270554,הרימון,11,exact
693386.1,3438436.13,31.0637827,35.0268566,הרימון,13,exact
693454.62,3438479.55,31.064163,35.0275826,הרימון,14,exact
693370.15,3438431.02,31.0637393,35.0266885,הרימון,15,exact
693434.42,3438475.71,31.0641317,35.0273703,הרימון,16,exact
693320.35,3438408.14,31.0635411,35.0261624,הרימון,19,exact
693400.31,3438466.86,31.0640575,35.0270113,הרימון,20,exact
693300.45,3438404,31.0635071,35.0259532,הרימון,21,exact
693383.69,3438460.07,31.063999,35.0268359,הרימון,22,exact
693280.64,3438399.97,31.063474,35.0257449,הרימון,23,exact
693368.21,3438456.37,31.0639682,35.026673,הרימון,24,exact
693358.74,3438448.36,31.0638975,35.0265723,הרימון,26,exact
693302.1,3438437.39,31.0638079,35.0259769,הרימון,32,exact
693287.97,3438429.99,31.0637435,35.0258274,הרימון,34,exact
693271.59,3438427.82,31.0637266,35.0256554,הרימון,36,exact
694035.9,3439434.56,31.0726788,35.0338551,אקסודוס,,street
694256.53,3438413.27,31.0634329,35.0359702,שד יגאל אלון,,street
694156.86,3438426.87,31.063572,35.0349287,שד יגאל אלון,13,exact
694005.59,3438380.54,31.0631793,35.0333352,שד יגאל אלון,16,exact
694145.67,3438377.35,31.0631274,35.034802,שד יגאל אלון,30,exact
694291.66,3438436,31.0636321,35.0363425,שד יגאל אלון,31,exact
694174.26,3438382.05,31.063165,35.0351024,שד יגאל אלון,32,exact
694633.26,3438732.96,31.0662533,35.039978,שד יגאל אלון,86,exact
693863.33,3438319.13,31.062649,35.0318332,הנרקיס,,street
693880.5,3438332.17,31.0627637,35.0320156,הנרקיס,7,exact
693907.4,3438334.06,31.0627764,35.0322978,הנרקיס,9,exact
693842.01,3438305.72,31.0625316,35.0316073,הנרקיס,10,exact
693927.1,3438333.82,31.0627709,35.0325041,הנרקיס,11,exact
693855.81,3438305.72,31.0625293,35.0317519,הנרקיס,14,exact
693649.65,3438182.37,31.061451,35.0295687,מצדה,4,exact
693707.96,3438203.93,31.0616358,35.0301836,מצדה,5,exact
693722.96,3438201.45,31.061611,35.0303403,מצדה,9,exact
693803.7,3438177.15,31.0613785,35.0311814,מצדה,11,street
693831.16,3438190.05,31.0614903,35.0314715,מצדה,43,exact
693851.19,3438185.7,31.0614478,35.0316805,מצדה,45,exact
693816.33,3438254.83,31.0620769,35.0313286,הכלנית,,street
693759.34,3438268.84,31.0622127,35.0307343,הכלנית,1,exact
693739.1,3438251.18,31.0620568,35.0305189,הכלנית,8,exact
693912.07,3438269.99,31.0621978,35.0323344,הכלנית,25,exact
693571.1,3438083.25,31.0605702,35.0287269,נוה מדבר,,street
693544.71,3438073.41,31.0604858,35.0284486,נוה מדבר,33,exact
693457.82,3438117.63,31.0608988,35.0275469,נוה מדבר,58,exact
693897.69,3438067.09,31.0603706,35.0321448,בבא סאלי,,street
693370.46,3438042.63,31.0602369,35.0266175,בבא סאלי,1,exact
693378.82,3438044.42,31.0602517,35.0267054,בבא סאלי,3,exact
693388.86,3438031.63,31.0601347,35.0268081,בבא סאלי,5,exact
693399.45,3438029.32,31.0601121,35.0269186,בבא סאלי,7,exact
693423.71,3438014.37,31.0599733,35.0271698,בבא סאלי,9,exact
693433.78,3438013.89,31.0599673,35.0272752,בבא סאלי,11,exact
693485.48,3437923.53,31.059144,35.0277995,בבא סאלי,12,exact
693445.39,3438001.42,31.059853,35.0273945,בבא סאלי,13,exact
693508.04,3437930.65,31.0592045,35.0280372,בבא סאלי,14,exact
693467.52,3437994.29,31.059785,35.0276249,בבא סאלי,17,exact
693524.07,3437932.33,31.059217,35.0282054,בבא סאלי,18,exact
693481.38,3437994.63,31.0597858,35.0277702,בבא סאלי,19,exact
693533.15,3437934.16,31.059232,35.0283009,בבא סאלי,20,exact
693495.18,3437980.48,31.0596559,35.027912,בבא סאלי,21,exact
693547.64,3437936.52,31.0592509,35.0284531,בבא סאלי,22,exact
693529.38,3438005.68,31.0598775,35.0282751,בבא סאלי,23,exact
693555.08,3437939.07,31.0592727,35.0285315,בבא סאלי,24,exact
693538.29,3437999.09,31.0598167,35.0283671,בבא סאלי,25,exact
693572.76,3437940.32,31.059281,35.028717,בבא סאלי,26,exact
693552.33,3437998.16,31.059806,35.028514,בבא סאלי,27,exact
693583.66,3437945.44,31.0593254,35.0288321,בבא סאלי,28,exact
693563.34,3437999.9,31.0598198,35.0286297,בבא סאלי,29,exact
693604.35,3437944.75,31.0593158,35.0290487,בבא סאלי,30,exact
693584.39,3437992.89,31.0597531,35.0288488,בבא סאלי,31,exact
693607.53,3437941.76,31.0592883,35.0290814,בבא סאלי,32,exact
693588.78,3437996.13,31.0597816,35.0288954,בבא סאלי,33,exact
693622.81,3437942.36,31.0592912,35.0292416,בבא סאלי,34,exact
693599.65,3437985.47,31.0596837,35.0290073,בבא סאלי,35,exact
693609.67,3437976.4,31.0596003,35.0291105,בבא סאלי,37,exact
693648.43,3437935.46,31.0592247,35.0295086,בבא סאלי,38,exact
693635.74,3437987.55,31.0596965,35.0293857,בבא סאלי,39,exact
693646.8,3437990.67,31.0597228,35.0295021,בבא סאלי,41,exact
693662.25,3437988.31,31.059699,35.0296635,בבא סאלי,43,exact
693671.73,3437977.5,31.0596,35.0297608,בבא סאלי,45,exact
693897.3,3438036.38,31.0600937,35.0321349,בבא סאלי,64,exact
693928.18,3438050.2,31.0602132,35.032461,בבא סאלי,65,exact
693965.69,3438066.26,31.0603519,35.032857,בבא סאלי,66,exact
694016.88,3438107.45,31.0607148,35.0334011,בבא סאלי,68,exact
694061.83,3438125.55,31.0608706,35.0338754,בבא סאלי,69,exact
694093.59,3438138.72,31.0609841,35.0342106,בבא סאלי,70,exact
694160.29,3438156.88,31.0611369,35.0349128,בבא סאלי,71,exact
693899.84,3438039.32,31.0601198,35.032162,בבא סאלי,72,exact
693947.56,3438137.2,31.0609945,35.0326807,בבא סאלי,73,exact
693932.23,3438052.26,31.0602311,35.0325038,בבא סאלי,74,exact
693953.34,3438132.2,31.0609485,35.0327403,בבא סאלי,75,exact
693941.27,3438056.82,31.0602708,35.0325994,בבא סאלי,76,exact
694039.42,3438164.83,31.0612285,35.0336482,בבא סאלי,77,exact
693956.86,3438062.68,31.060321,35.0327638,בבא סאלי,78,exact
694176.16,3438201.65,31.0615379,35.0350876,בבא סאלי,79,exact
693969.95,3438067.52,31.0603625,35.0329018,בבא סאלי,80,exact
693994.8,3438100.17,31.0606528,35.0331684,בבא סאלי,82,exact
694015.53,3438109.17,31.0607306,35.0333873,בבא סאלי,84,exact
694029.09,3438114.18,31.0607735,35.0335303,בבא סאלי,86,exact
694061.3,3438162.06,31.0611999,35.0338769,בבא סאלי,87,exact
694053.22,3438122.99,31.060849,35.0337847,בבא סאלי,88,exact
694109.12,3438179.02,31.061345,35.034381,בבא סאלי,89,exact
694066.99,3438129.83,31.0609084,35.0339303,בבא סאלי,90,exact
694126.47,3438183.26,31.0613803,35.0345636,בבא סאלי,91,exact
694100.36,3438142.44,31.0610166,35.0342823,בבא סאלי,94,exact
694135.81,3438150.45,31.0610829,35.0346551,בבא סאלי,98,exact
694150.79,3438155.7,31.0611278,35.0348131,בבא סאלי,100,exact
694164.87,3438160.71,31.0611706,35.0349615,בבא סאלי,102,exact
694211.03,3438177.28,31.0613124,35.0354482,בבא סאלי,104,exact
694226.84,3438180.43,31.0613382,35.0356144,בבא סאלי,106,exact
694256.95,3438199.15,31.061502,35.0359334,בבא סאלי,110,exact
694273.31,3438204.19,31.0615448,35.0361058,בבא סאלי,112,exact
694291.27,3438210.54,31.0615991,35.0362951,בבא סאלי,114,exact
694313.36,3438306.18,31.0624578,35.0365449,בבא סאלי,127,exact
694315.03,3438318.6,31.0625696,35.0365648,בבא סאלי,129,exact
693594.88,3437866.17,31.0586087,35.0289345,קדש,,street
693613.12,3437837.01,31.0583428,35.0291199,קדש,23,exact
693603.87,3437834.76,31.058324,35.0290226,קדש,25,exact
693577.07,3437826.22,31.0582514,35.0287403,קדש,29,exact
693844.27,3438068.35,31.0603907,35.0315855,ניצנה,135,street
694632.84,3438611.98,31.0651625,35.0399504,עבדת,1,exact
694664.45,3438612.52,31.0651621,35.0402816,עבדת,4,exact
694636.15,3438632.48,31.0653468,35.039989,עבדת,5,exact
694667.37,3438626.93,31.0652916,35.0403149,עבדת,6,exact
694671.16,3438633.24,31.0653478,35.0403559,עבדת,8,exact
694641.49,3438653.67,31.065537,35.040049,עבדת,9,exact
694675.76,3438646.32,31.065465,35.0404066,עבדת,10,exact
694678.54,3438654.91,31.065542,35.0404373,עבדת,12,exact
694770,3438652.52,31.0655053,35.041395,עבדת,14,street
694652.45,3438688.73,31.0658513,35.0401706,עבדת,15,exact
694765.09,3438641.63,31.0654079,35.0413414,עבדת,16,exact
694653.63,3438707.9,31.066024,35.0401866,עבדת,19,exact
694818.21,3438619.77,31.065202,35.0418937,עבדת,20,exact
694676,3438701.59,31.0659634,35.0404197,עבדת,21,exact
694682.21,3438695.01,31.065903,35.0404835,עבדת,23,exact
694844.44,3438610.66,31.0651155,35.0421667,עבדת,24,exact
694697.9,3438690.59,31.0658605,35.040647,עבדת,25,exact
694703.95,3438691.72,31.0658697,35.0407106,עבדת,27,exact
694721.9,3438688.17,31.0658347,35.040898,עבדת,29,exact
694874.35,3438601.84,31.065031,35.0424783,עבדת,30,exact
694726.62,3438682.52,31.065783,35.0409463,עבדת,31,exact
694746.75,3438682.54,31.0657798,35.0411572,עבדת,33,exact
694754.74,3438676.07,31.0657202,35.0412396,עבדת,35,exact
694768.02,3438672.58,31.0656865,35.0413781,עבדת,37,exact
694776.2,3438670.28,31.0656644,35.0414633,עבדת,39,exact
694797.33,3438666.31,31.0656251,35.0416839,עבדת,41,exact
694800.87,3438663.54,31.0655995,35.0417205,עבדת,43,exact
694822.96,3438657,31.0655369,35.0419506,עבדת,45,exact
694825.57,3438653.18,31.065502,35.0419772,עבדת,47,exact
694849.88,3438649.97,31.065469,35.0422313,עבדת,51,exact
694865.64,3438649.42,31.0654615,35.0423962,עבדת,53,exact
694869.8,3438643.33,31.0654059,35.0424386,עבדת,55,exact
693668.49,3438696.51,31.0660841,35.0298646,האורן,8,exact
693642.99,3438698.37,31.0661051,35.0295978,האורן,12,exact
693566.33,3438646.65,31.0656514,35.0287848,האורן,39,street
693641.02,3438592.57,31.0651514,35.0295569,רחבת האשלג,4,exact
693639.09,3438626.76,31.06546,35.0295432,רחבת האשלג,10,exact
693641.25,3438641.37,31.0655914,35.0295686,רחבת האשלג,12,exact
693622.01,3438555.05,31.0648162,35.0293506,רחבת האשלג,13,exact
693635.66,3438648.55,31.0656571,35.0295115,רחבת האשלג,14,exact
693604.89,3438564.92,31.064908,35.0291731,רחבת האשלג,15,exact
693598.69,3438567.99,31.0649367,35.0291088,רחבת האשלג,17,exact
693604.32,3438653.88,31.0657103,35.0291842,רחבת האשלג,18,exact
693597.86,3438592.14,31.0651546,35.0291047,רחבת האשלג,19,exact
693601.84,3438600.87,31.0652327,35.029148,רחבת האשלג,21,exact
693592.3,3438611.63,31.0653313,35.0290502,רחבת האשלג,23,exact
