id,city,street,house_number,entrance,zip,govmap_status,govmap_lat,govmap_lon,google_fwd_status,google_fwd_lat,google_fwd_lon,google_fwd_full,osm_fwd_status,osm_fwd_lat,osm_fwd_lon,osm_fwd_full,dist_govmap_google_m,dist_govmap_osm_m,dist_google_osm_m,google_rev_at_govmap_street,google_rev_at_govmap_house,google_rev_at_govmap_match,osm_rev_at_govmap_street,osm_rev_at_govmap_house,osm_rev_at_govmap_match,osm_rev_at_google_street,osm_rev_at_google_house,osm_rev_at_google_match,google_rev_at_osm_street,google_rev_at_osm_house,google_rev_at_osm_match,flags
001027-073567-00000-X,דימונה,אבן גבירול,26,,,street,31.062559,35.026641,OK,31.074702,35.043410,"Shlomo Ibn Gabirol St 26, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",2091.5,2194.9,130.4,הנרי מלכה,24,mismatch,הנרי מלכה,,mismatch,,,n/a,,,mismatch,google_rev_at_govmap_mismatch;osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00001-X,דימונה,אבן גבירול,20,,,exact,31.075257,35.043673,OK,31.075263,35.043561,"Shlomo Ibn Gabirol St 20, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",10.7,66.3,66.6,שלמה אבן גבירול,20,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00002-X,דימונה,אבן גבירול,21,,,exact,31.076449,35.043592,OK,31.076437,35.043525,"Shlomo Ibn Gabirol St 21, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",6.6,66.4,66.2,שלמה אבן גבירול,21,partial,הרב אלנקוה,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00003-X,דימונה,אבן גבירול,33,,,exact,31.075668,35.044228,OK,31.075855,35.043668,"Shlomo Ibn Gabirol St 33, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",57.3,56.4,1.0,שלמה אבן גבירול,454,partial,יצחק שמיר,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00004-X,דימונה,אבן גבירול,17,,,exact,31.076466,35.043245,OK,31.076462,35.043227,"Shlomo Ibn Gabirol St 17, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",1.7,79.4,79.9,שלמה אבן גבירול,17,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00005-X,דימונה,אבן גבירול,18,,,exact,31.075330,35.043479,OK,31.075362,35.043408,"Shlomo Ibn Gabirol St 18, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",7.7,61.2,60.4,שלמה אבן גבירול,18,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00006-X,דימונה,אבן גבירול,36,,,exact,31.073928,35.043668,OK,31.073946,35.043592,"Shlomo Ibn Gabirol St 36, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",7.6,213.6,211.8,שלמה אבן גבירול,36,partial,אלחריזי,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00007-X,דימונה,אבן גבירול,9,,,exact,31.076294,35.042389,OK,31.076304,35.042361,"Shlomo Ibn Gabirol St 9, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",2.9,132.4,135.2,שלמה אבן גבירול,9,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00008-X,דימונה,אבן גבירול,29,,,exact,31.076118,35.044273,OK,31.076040,35.043458,"Shlomo Ibn Gabirol St 29, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",78.3,63.8,29.4,שלמה אבן גבירול,914,partial,יצחק שמיר,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00009-X,דימונה,אבן גבירול,28,,,exact,31.074601,35.043680,OK,31.074619,35.043568,"Shlomo Ibn Gabirol St 28, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",10.9,139.0,137.4,שלמה אבן גבירול,28,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
